Date,Price
07/18/2010,0.1
07/19/2010,0.1
07/20/2010,0.1
07/21/2010,0.1
07/22/2010,0.1
07/23/2010,0.1
07/24/2010,0.1
07/25/2010,0.1
07/26/2010,0.1
07/27/2010,0.1
07/28/2010,0.1
07/29/2010,0.1
07/30/2010,0.1
07/31/2010,0.1
08/01/2010,0.1
08/02/2010,0.1
08/03/2010,0.1
08/04/2010,0.1
08/05/2010,0.1
08/06/2010,0.1
08/07/2010,0.1
08/08/2010,0.1
08/09/2010,0.1
08/10/2010,0.1
08/11/2010,0.1
08/12/2010,0.1
08/13/2010,0.1
08/14/2010,0.1
08/15/2010,0.1
08/16/2010,0.1
08/17/2010,0.1
08/18/2010,0.1
08/19/2010,0.1
08/20/2010,0.1
08/21/2010,0.1
08/22/2010,0.1
08/23/2010,0.1
08/24/2010,0.1
08/25/2010,0.1
08/26/2010,0.1
08/27/2010,0.1
08/28/2010,0.1
08/29/2010,0.1
08/30/2010,0.1
08/31/2010,0.1
09/01/2010,0.1
09/02/2010,0.1
09/03/2010,0.1
09/04/2010,0.1
09/05/2010,0.1
09/06/2010,0.1
09/07/2010,0.1
09/08/2010,0.1
09/09/2010,0.1
09/10/2010,0.1
09/11/2010,0.1
09/12/2010,0.1
09/13/2010,0.1
09/14/2010,0.1
09/15/2010,0.1
09/16/2010,0.1
09/17/2010,0.1
09/18/2010,0.1
09/19/2010,0.1
09/20/2010,0.1
09/21/2010,0.1
09/22/2010,0.1
09/23/2010,0.1
09/24/2010,0.1
09/25/2010,0.1
09/26/2010,0.1
09/27/2010,0.1
09/28/2010,0.1
09/29/2010,0.1
09/30/2010,0.1
10/01/2010,0.1
10/02/2010,0.1
10/03/2010,0.1
10/04/2010,0.1
10/05/2010,0.1
10/06/2010,0.1
10/07/2010,0.1
10/08/2010,0.1
10/09/2010,0.1
10/10/2010,0.1
10/11/2010,0.1
10/12/2010,0.1
10/13/2010,0.1
10/14/2010,0.1
10/15/2010,0.1
10/16/2010,0.1
10/17/2010,0.1
10/18/2010,0.1
10/19/2010,0.1
10/20/2010,0.1
10/21/2010,0.1
10/22/2010,0.1
10/23/2010,0.1
10/24/2010,0.1
10/25/2010,0.1
10/26/2010,0.2
10/27/2010,0.2
10/28/2010,0.2
10/29/2010,0.2
10/30/2010,0.2
10/31/2010,0.2
11/01/2010,0.2
11/02/2010,0.2
11/03/2010,0.2
11/04/2010,0.2
11/05/2010,0.3
11/06/2010,0.4
11/07/2010,0.3
11/08/2010,0.2
11/09/2010,0.2
11/10/2010,0.2
11/11/2010,0.2
11/12/2010,0.3
11/13/2010,0.3
11/14/2010,0.3
11/15/2010,0.3
11/16/2010,0.2
11/17/2010,0.2
11/18/2010,0.3
11/19/2010,0.3
11/20/2010,0.3
11/21/2010,0.3
11/22/2010,0.3
11/23/2010,0.3
11/24/2010,0.3
11/25/2010,0.3
11/26/2010,0.3
11/27/2010,0.3
11/28/2010,0.3
11/29/2010,0.2
11/30/2010,0.2
